   2.0000000000000002e-05	   3.0886941632289195e-29	
   2.0549765144018781e-05	   2.6253272015667651e-29	
   2.1114642373716501e-05	   2.2314946177673639e-29	
   2.1695047093991062e-05	   1.8967598051105717e-29	
   2.2291406128497169e-05	   1.6122528266549530e-29	
   2.2904158033527883e-05	   1.3704352161580154e-29	
   2.3533753420524495e-05	   1.1649000909029799e-29	
   2.4180655287451348e-05	   9.9020227460628867e-30	
   2.4845339359280054e-05	   8.4171392463363587e-30	
   2.5528294437832555e-05	   7.1550183427943453e-30	
   2.6230022761241044e-05	   6.0822315581017528e-30	
   2.6951040373288520e-05	   5.1703677859084608e-30	
   2.7691877502902362e-05	   4.3952801186599632e-30	
   2.8453078954079037e-05	   3.7364457467044839e-30	
   2.9235204506527439e-05	   3.1764219525970385e-30	
   3.0038829327324916e-05	   2.7003837733406423e-30	
   3.0864544393889527e-05	   2.2957310694402153e-30	
   3.1712956928578556e-05	   1.9517545805448930e-30	
   3.2584690845233686e-05	   1.6593521119481372e-30	
   3.3480387208000551e-05	   1.4107873258090937e-30	
   3.4400704702761093e-05	   1.1994847409196705e-30	
   3.5346320121524134e-05	   1.0198555051470316e-30	
   3.6317928860131387e-05	   8.6714932080152726e-31	
   3.7316245429644076e-05	   7.3732859676707860e-31	
   3.8342003981787495e-05	   6.2696149068058930e-31	
   3.9395958848838292e-05	   5.3313100539685443e-31	
   4.0478885098352846e-05	   4.5335772971163824e-31	
   4.1591579103143621e-05	   3.8553417513283393e-31	
   4.2734859126924022e-05	   3.2786896798370171e-31	
   4.3909565926050802e-05	   2.7883941745038696e-31	
   4.5116563367807760e-05	   2.3715120227883749e-31	
   4.6356739065684521e-05	   2.0170410757560888e-31	
   4.7631005032118865e-05	   1.7156290357849595e-31	
   4.8940298349180961e-05	   1.4593259459158422e-31	
   5.0285581857694036e-05	   1.2413738214060584e-31	
   5.1667844865297194e-05	   1.0560278487169303e-31	
   5.3088103873972687e-05	   8.9840441401005927e-32	
   5.4547403327570613e-05	   7.6435193443946876e-32	
